No,Date,Route,Bike,Location,Distance(km),RideTime,AvgSpeed(km/h),MaxSpeed(km/h),AvgHR,MaxHR,MaxCadence,GPSPoints
257,2018-08-15 21:53,안양시,Ghost,안양시,16.63,1:03:14,15.8,43.0,,,,431
258,2018-08-17 08:15,수원시,Ghost,수원시,16.51,1:02:55,15.7,38.1,,,,458
259,2018-08-19 21:49,안양시,Ghost,안양시,16.54,1:01:46,16.1,36.4,,,,424
260,2018-08-26 08:37,안양시,Ghost,안양시,20.52,1:21:26,15.1,39.9,,,,521
261,2018-09-03 22:00,안양시,Ghost,안양시,33.11,2:03:55,16.0,40.7,,,,900
262,2018-09-05 08:35,수원시,Ghost,수원시,16.40,1:04:50,15.2,44.2,,,,437
263,2018-09-05 21:53,안양시,Ghost,안양시,16.48,1:04:38,15.3,44.3,,,,443
264,2018-09-06 21:40,안양시,Ghost,안양시,32.92,2:08:37,15.4,38.1,,,,906
265,2018-09-08 00:29,안양시,Ghost,안양시,22.81,1:54:47,11.9,39.2,,,,632
266,2018-09-10 09:05,수원시,Ghost,수원시,18.72,1:19:04,14.2,42.1,,,,529
267,2018-09-10 21:53,안양시,Ghost,안양시,16.53,1:03:16,15.7,36.1,,,,454
268,2018-09-12 09:12,수원시,Ghost,수원시,16.47,1:03:14,15.6,34.7,,,,446
269,2018-09-12 21:56,안양시,Ghost,안양시,16.43,1:00:43,16.2,38.4,,,,461
270,2018-09-16 01:48,춘천시,Ghost,춘천시,133.34,6:39:06,20.0,64.6,,,,3018
271,2018-09-16 22:06,안양시,Ghost,안양시,32.87,2:09:08,15.3,42.9,,,,894
272,2018-09-17 22:01,안양시,Ghost,안양시,32.96,1:58:40,16.7,38.4,,,,853
273,2018-09-26 08:32,안양시,Ghost,안양시,20.62,1:22:10,15.1,34.4,,,,499
