"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Ghost,"안양시","2018-04-16 07:02:21",3916,684,16.44,15.12,36.63,122,"","","",""
"",Ghost,"수원시","2018-04-16 18:29:39",4168,695,16.62,14.36,33.31,83,"","","",""
"",Ghost,"안양시","2018-05-01 17:48:25",5477,1546,21.94,14.42,31.55,211,"","","",""
"",Ghost,"안양시","2018-05-15 07:12:36",3928,915,16.49,15.12,42.11,103,"","","",""
"",Ghost,"수원시","2018-05-15 17:49:30",4329,957,16.52,13.74,37.32,94,"","","",""
"",Ghost,"수원시","2018-05-23 17:18:48",4212,1643,16.84,14.39,37.43,123,"","","",""
"",Ghost,"안양시","2018-05-24 06:39:43",3722,600,16.44,15.9,31.87,117,"","","",""
"",Ghost,"안양시","2018-05-28 07:08:35",3796,1012,16.5,15.65,33.09,159,"","","",""
"",Ghost,"수원시","2018-05-28 18:21:07",4095,308,16.39,14.41,41.25,91,126,157,"",""
"",Ghost,"수원시","2018-05-30 17:14:31",4187,544,16.44,14.13,41.7,104,121,156,"",""
"",Ghost,"안양시","2018-05-31 06:48:50",4084,774,16.55,14.59,32.04,116,122,152,"",""
"",Ghost,"안양시","2018-06-02 11:00:04",7138,2966,24.12,12.16,33.87,204,132,181,"",""
"",Ghost,"안양시","2018-06-04 07:08:34",4159,589,16.53,14.31,37.29,104,128,149,"",""
"",Ghost,"수원시","2018-06-04 18:37:59",4069,901,16.52,14.62,40.75,84,115,156,"",""
"",Ghost,"안양시","2018-06-11 06:59:22",3804,622,15.77,14.92,36.59,118,125,149,"",""
"",Ghost,"수원시","2018-06-11 18:14:00",4045,456,16.56,14.74,40.12,102,121,157,"",""
"",Ghost,"안양시","2018-06-30 10:49:55",5106,882,20.44,14.41,39.83,232,"","","",""
"",Ghost,"안양시","2018-07-14 10:24:26",4777,1937,20.42,15.39,43.0,184,"","","",""
"",Ghost,"시흥시","2018-07-15 10:01:38",804,2702,2.83,12.68,19.26,0,"","","",""
"",Ghost,"시흥시","2018-07-15 11:19:42",4192,7858,19.36,16.62,28.89,25,"","","",""
"",Ghost,"안양시","2018-07-16 06:56:23",4182,789,16.46,14.17,40.59,120,"","","",""
"",Ghost,"수원시","2018-07-16 17:46:37",4232,959,16.49,14.02,41.09,90,"","","",""
"",Ghost,"안양시","2018-07-17 06:49:34",3906,878,16.57,15.28,43.15,108,"","","",""
"",Ghost,"수원시","2018-07-17 17:29:10",4232,1044,16.36,13.92,46.02,84,"","","",""
"",Ghost,"안양시","2018-07-18 06:59:36",4057,529,15.91,14.12,35.37,93,"","","",""
"",Ghost,"수원시","2018-07-18 17:34:46",4354,255,16.4,13.56,32.97,77,"","","",""
"",Ghost,"안양시","2018-07-20 06:58:01",3911,764,16.44,15.14,41.75,107,"","","",""
"",Ghost,"수원시","2018-07-20 17:29:34",3750,537,14.63,14.04,38.39,75,"","","",""
"",Ghost,"안양시","2018-07-21 19:18:24",5293,282,20.41,13.88,41.8,181,"","","",""
"",Ghost,"안양시","2018-07-23 07:04:24",3845,826,16.45,15.4,42.77,97,"","","",""
"",Ghost,"수원시","2018-07-23 17:34:10",4454,836,16.33,13.2,42.2,80,"","","",""
"",Ghost,"안양시","2018-07-24 06:43:47",3861,723,16.34,15.24,41.74,108,"","","",""
"",Ghost,"수원시","2018-07-24 17:19:39",4252,574,16.41,13.89,41.69,80,"","","",""
"",Ghost,"안양시","2018-07-25 06:52:17",3921,532,16.57,15.21,41.32,100,"","","",""
"",Ghost,"수원시","2018-07-25 17:20:01",3952,590,16.35,14.89,35.7,83,"","","",""
"",Ghost,"안양시","2018-07-26 06:56:04",4014,397,16.37,14.68,34.32,105,"","","",""
"",Ghost,"수원시","2018-07-26 20:51:08",4071,540,16.26,14.38,40.6,89,"","","",""
"",Ghost,"안양시","2018-07-27 19:55:36",4824,756,20.47,15.28,33.9,174,"","","",""
"",Ghost,"안양시","2018-07-29 18:05:47",5154,1122,20.87,14.58,37.32,200,"","","",""
"",Ghost,"안양시","2018-07-31 06:57:34",3795,501,16.3,15.47,38.58,113,"","","",""
"",Ghost,"수원시","2018-07-31 17:16:55",4107,310,16.51,14.47,37.76,80,"","","",""
"",Ghost,"안양시","2018-08-01 06:59:18",3458,591,15.27,15.9,46.37,96,"","","",""
"",Ghost,"수원시","2018-08-01 17:21:53",4212,385,16.39,14.01,40.37,90,"","","",""
"",Ghost,"안양시","2018-08-02 06:53:47",3930,245,16.59,15.19,43.11,96,"","","",""
