"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Nukeproof,"","2021-02-10 06:44:54",4116,617,16.84,14.73,36.12,114,"","","",""
"",Nukeproof,"","2021-02-10 17:06:19",4218,532,16.7,14.25,32.94,256,"","","",""
"",Nukeproof,"","2021-02-11 12:34:26",5294,1671,20.81,14.15,34.54,374,"","","",""
"",Nukeproof,"안양시","2021-02-14 08:34:50",395,63,1.32,12.06,20.47,0,"","","",""
"",Nukeproof,"서초구","2021-02-14 09:29:37",11172,10229,54.43,17.54,75.03,56,"","","",""
"",Nukeproof,"안양시","2021-02-15 06:31:52",4339,512,16.7,13.86,33.05,100,"","","",""
"",Nukeproof,"안양시","2021-02-22 06:57:46",4107,387,16.81,14.74,32.24,113,"","","",""
"",Nukeproof,"안양시","2021-02-24 06:10:20",3020,1135,13.26,15.81,34.05,72,"","","",""
"",Nukeproof,"수원시","2021-02-24 15:58:09",4057,578,16.79,14.9,36.81,108,"","","",""
"",Nukeproof,"안양시","2021-02-25 06:28:37",3996,445,16.88,15.21,31.75,104,"","","",""
"",Nukeproof,"수원시","2021-02-25 17:02:48",4789,1275,18.64,14.01,33.36,106,"","","",""
"",Nukeproof,"안양시","2021-02-26 06:28:30",4238,250,16.64,14.13,31.22,98,"","","",""
"",Nukeproof,"수원시","2021-02-26 17:18:53",4332,838,16.67,13.85,39.11,94,"","","",""
"",Nukeproof,"군포시","2021-02-28 10:04:05",4183,1341,11.77,10.13,29.97,297,"","","",""
"",Nukeproof,"안양시","2021-03-02 06:34:04",4486,521,18.02,14.46,34.75,147,"","","",""
"",Nukeproof,"수원시","2021-03-02 17:12:53",4246,586,16.63,14.1,33.17,117,"","","",""
"",Nukeproof,"","2021-03-03 06:51:34",4374,534,16.61,13.67,37.88,114,"","","",""
"","","수원시","2021-03-03 08:25:43",3925,32879,17.28,15.85,56.99,110,"","","",""
"",Nukeproof,"","2021-03-04 06:40:38",4195,664,16.65,14.28,36.39,127,"","","",""
"",Nukeproof,"수원시","2021-03-04 17:12:49",3968,679,16.42,14.89,38.95,104,"","","",""
"",Nukeproof,"","2021-03-05 06:40:11",4403,429,16.57,13.55,34.46,117,"","","",""
"",Nukeproof,"","2021-03-05 17:42:05",4220,583,16.44,14.03,38.74,110,"","","",""
"",Nukeproof,"","2021-03-07 09:21:42",12373,11110,64.77,18.85,28.78,454,"","","",""
"",Nukeproof,"","2021-03-08 06:46:56",4014,418,15.87,14.23,33.99,102,"","","",""
"","","","2021-03-08 17:33:16",3794,903,16.52,15.67,38.04,107,"","","",""
"",Nukeproof,"","2021-03-09 06:41:49",4364,418,16.56,13.66,35.08,125,"","","",""
"","","","2021-03-09 17:25:47",3370,1987,15.1,16.13,37.5,305,"","","",""
"",Nukeproof,"","2021-03-10 06:31:34",4337,513,17.12,14.21,34.97,320,"","","",""
"","","","2021-03-10 20:28:34",3669,737,16.54,16.23,36.84,121,"","","",""
"",Nukeproof,"","2021-03-11 06:44:41",3912,789,16.76,15.43,34.84,124,"","","",""
"",Nukeproof,"","2021-03-11 17:07:16",3876,916,17.6,16.34,38.63,131,"","","",""
"",Nukeproof,"","2021-03-15 06:39:25",4078,417,16.43,14.5,31.44,97,"","","",""
"","","","2021-03-15 17:35:57",3860,1165,16.39,15.29,35.59,113,"","","",""
"",Nukeproof,"","2021-03-16 06:23:23",4215,549,16.61,14.18,33.48,137,"","","",""
"","Santa Cruz","","2021-03-16 17:12:42",4309,497,16.44,13.74,36.52,92,"","","",""
"",Nukeproof,"","2021-03-17 06:38:54",4350,610,16.51,13.66,34.54,118,"","","",""
"",Nukeproof,"","2021-03-17 17:44:44",4134,986,16.48,14.35,35.17,128,"","","",""
"",Nukeproof,"","2021-03-18 06:40:40",4214,415,16.41,14.02,31.08,117,"","","",""
"","Santa Cruz","","2021-03-18 20:43:16",3917,779,16.46,15.13,36.29,104,"","","",""
"",Nukeproof,"","2021-03-19 06:32:09",4271,379,16.54,13.94,34.32,122,"","","",""
"","Santa Cruz","","2021-03-19 17:17:27",4379,2215,16.61,13.66,40.54,109,"","","",""
"",Nukeproof,"","2021-03-22 17:20:30",4126,525,16.5,14.4,30.8,112,"","","",""
"",Nukeproof,"","2021-03-23 06:42:25",4157,619,16.69,14.45,34.76,103,"","","",""
"",Nukeproof,"","2021-03-23 17:08:51",2466,1105,8.97,13.1,25.76,78,"","","",""
"",Nukeproof,"","2021-03-24 06:20:54",4171,568,16.52,14.26,29.51,112,"","","",""
"",Nukeproof,"","2021-03-29 06:50:25",4146,530,16.55,14.37,30.76,146,"","","",""
"",Nukeproof,"","2021-03-29 17:26:40",4308,309,16.51,13.8,35.69,109,"","","",""
"",Nukeproof,"","2021-03-30 06:33:19",4217,306,16.36,13.96,35.34,136,"","","",""
"",Nukeproof,"","2021-03-30 17:02:07",4882,1360,18.15,13.39,27.83,138,"","","",""
"",Nukeproof,"","2021-03-31 05:57:37",4197,704,16.51,14.16,35.16,146,"","","",""
"",Nukeproof,"","2021-03-31 17:21:48",4220,987,16.76,14.3,33.68,127,"","","",""
"",Nukeproof,"","2021-04-01 06:33:34",4201,512,16.5,14.14,31.79,133,"","","",""
"",Nukeproof,"","2021-04-01 17:47:37",4751,988,17.33,13.14,35.84,128,"","","",""
"",Nukeproof,"","2021-04-02 06:27:11",4027,302,16.56,14.81,31.56,126,"","","",""
"",Nukeproof,"","2021-04-02 17:10:02",4689,921,16.81,12.9,34.43,159,"","","",""
"",Nukeproof,"","2021-04-05 17:28:20",4432,1246,16.73,13.59,36.35,118,"","","",""
"",Nukeproof,"","2021-04-07 06:24:30",4165,398,16.63,14.38,29.91,122,"","","",""
"",Nukeproof,"","2021-04-07 18:17:34",4673,754,16.57,12.77,31.46,111,"","","",""
"",Nukeproof,"","2021-04-08 06:22:58",4402,248,16.5,13.49,32.01,103,"","","",""
"",Nukeproof,"","2021-04-08 17:12:21",4982,977,16.62,12.01,37.98,118,"","","",""
"",Nukeproof,"","2021-04-09 06:38:56",4363,654,16.67,13.76,35.77,111,"","","",""
"",Nukeproof,"","2021-04-09 17:02:04",4606,672,16.45,12.86,36.66,119,"","","",""
"",Nukeproof,"","2021-04-11 11:17:31",8187,6572,28.53,12.55,48.26,622,"","","",""
"",Nukeproof,"","2021-04-13 06:37:29",4333,675,16.56,13.76,34.76,123,"","","",""
"",Nukeproof,"","2021-04-13 19:54:15",3891,656,16.66,15.42,36.54,296,"","","",""
"",Nukeproof,"","2021-04-14 06:24:39",4092,927,16.63,14.63,35.16,299,"","","",""
"",Nukeproof,"","2021-04-14 17:06:22",5121,1050,16.59,11.66,35.32,123,"","","",""
"",Nukeproof,"","2021-04-15 06:24:52",4727,700,16.65,12.68,29.61,142,"","","",""
"",Nukeproof,"","2021-04-15 17:18:54",5388,2139,18.07,12.07,34.61,117,"","","",""
"",Nukeproof,"","2021-04-18 10:11:11",5803,3919,18.63,11.55,31.8,462,"","","",""
"",Nukeproof,"","2021-04-19 17:38:02",4190,2301,17.0,14.61,39.83,133,"","","",""
"",Nukeproof,"","2021-04-20 06:27:03",4151,754,17.02,14.76,37.94,107,"","","",""
"",Nukeproof,"","2021-04-20 18:25:33",4187,563,16.57,14.25,36.09,97,"","","",""
"",Nukeproof,"","2021-04-21 06:04:15",4385,350,16.62,13.65,39.32,137,"","","",""
"",Nukeproof,"수원시","2021-04-21 18:21:42",4432,718,16.58,13.47,34.8,81,"","","",""
"",Nukeproof,"","2021-04-25 09:59:50",6850,2850,23.35,12.27,40.29,400,"","","",""
"",Nukeproof,"","2021-04-25 14:49:41",1438,275,6.96,17.42,32.0,14,"","","",""
"",Nukeproof,"","2021-04-26 06:35:29",4398,573,16.58,13.57,32.36,123,"","","",""
"",Nukeproof,"","2021-04-26 17:10:07",4417,689,16.47,13.43,36.19,94,"","","",""
"",Nukeproof,"","2021-04-27 06:42:03",3993,523,16.71,15.07,32.15,171,"","","",""
"",Nukeproof,"","2021-04-27 19:51:58",4123,403,16.68,14.57,37.38,96,"","","",""
"",Nukeproof,"","2021-04-28 06:16:41",4183,534,16.66,14.34,35.19,148,"","","",""
"",Nukeproof,"","2021-04-28 16:58:10",4159,544,16.43,14.22,37.57,123,"","","",""
"",Nukeproof,"","2021-04-29 06:40:15",4176,668,16.58,14.3,36.24,115,"","","",""
"",Nukeproof,"","2021-04-29 17:08:44",4034,1010,16.34,14.59,33.8,130,"","","",""
"",Nukeproof,"","2021-05-02 09:52:55",7450,12134,32.68,15.79,31.81,56,"","","",""
"",Nukeproof,"","2021-05-03 07:03:21",4009,749,16.32,14.66,35.6,127,"","","",""
"","Santa Cruz","","2021-05-03 17:00:58",3897,947,16.59,15.33,36.97,100,"","","",""
"","Santa Cruz","","2021-05-04 18:19:24",3983,503,16.57,14.98,33.96,229,"","","",""
"",Nukeproof,"","2021-05-06 06:48:34",3751,712,16.68,16.01,36.77,93,"","","",""
"",Nukeproof,"","2021-05-06 17:11:27",3867,517,16.77,15.61,43.16,154,"","","",""
"",Nukeproof,"","2021-05-11 06:27:59",3984,651,16.9,15.28,36.57,101,"","","",""
"",Nukeproof,"","2021-05-11 17:09:50",3983,346,16.63,15.03,44.22,122,"","","",""
"",Nukeproof,"","2021-05-12 06:20:13",3621,732,16.81,16.71,41.91,121,"","","",""
"",Nukeproof,"","2021-05-12 17:09:29",3907,610,16.65,15.34,42.2,102,"","","",""
"",Nukeproof,"","2021-05-13 06:26:51",3967,541,16.95,15.38,33.44,125,"","","",""
"",Nukeproof,"","2021-05-14 06:42:05",3923,771,16.85,15.46,39.07,112,"","","",""
"",Nukeproof,"","2021-05-14 18:13:04",3721,2590,12.75,12.33,21.21,141,"","","",""
"",Nukeproof,"","2021-05-17 06:50:21",4013,363,16.67,14.96,35.13,121,"","","",""
"",Nukeproof,"수원시","2021-05-17 17:14:12",3937,460,16.39,14.99,38.28,122,"","","",""
"",Nukeproof,"","2021-05-18 06:43:55",4089,320,16.74,14.73,35.0,128,"","","",""
"",Nukeproof,"","2021-05-18 18:48:23",4013,811,16.73,15.01,35.26,95,"","","",""
"",Nukeproof,"","2021-05-20 06:50:01",4085,520,16.66,14.68,37.95,112,"","","",""
"",Nukeproof,"","2021-05-20 17:46:54",4004,345,16.66,14.98,39.21,102,"","","",""
"",Nukeproof,"","2021-05-21 06:26:59",586,4532,2.21,13.6,19.99,37,"","","",""
"",Nukeproof,"","2021-05-21 17:11:15",4236,642,16.8,14.28,33.79,100,"","","",""
"",Nukeproof,"","2021-05-23 08:32:47",12547,6949,59.25,17.0,43.05,495,"","","",""
"",Nukeproof,"","2021-05-24 06:35:53",4199,529,16.81,14.41,34.1,130,"","","",""
"",Nukeproof,"","2021-05-24 17:36:03",4053,629,16.76,14.88,36.56,103,"","","",""
"",Nukeproof,"","2021-05-30 09:16:15",16547,9767,87.08,18.94,32.62,587,"","","",""
"",Nukeproof,"","2021-05-31 06:45:12",4213,489,16.67,14.24,37.58,131,"","","",""
"",Nukeproof,"","2021-05-31 17:50:25",4270,679,16.7,14.08,36.3,111,"","","",""
"",Nukeproof,"","2021-06-01 06:24:18",4229,469,16.68,14.2,35.28,128,"","","",""
"","Santa Cruz","","2021-06-01 18:19:29",4131,353,16.92,14.75,36.32,152,"","","",""
"","Santa Cruz","","2021-06-02 06:14:53",4108,401,16.76,14.69,34.86,121,"","","",""
"","Santa Cruz","","2021-06-02 17:46:05",4114,1090,16.63,14.55,38.72,114,"","","",""
"","Santa Cruz","","2021-06-03 06:24:41",3798,661,16.59,15.73,34.38,128,"","","",""
"","Santa Cruz","","2021-06-03 17:17:39",4140,725,16.84,14.64,36.69,357,"","","",""
"",Wilier,"","2021-06-04 06:06:24",4237,465,16.75,14.23,32.43,164,"","","",""
"",Wilier,"","2021-06-04 17:29:02",4427,1029,17.04,13.86,34.09,105,"","","",""
"",Wilier,"","2021-06-06 08:34:04",320,56,1.25,14.02,18.9,0,"","","",""
"",Wilier,"","2021-06-06 09:36:43",9261,10603,42.81,16.64,32.63,661,"","","",""
"",Wilier,"","2021-06-07 06:35:56",4317,420,16.7,13.93,34.05,108,"","","",""
"",Wilier,"","2021-06-07 17:01:15",4199,815,16.69,14.31,39.97,126,"","","",""
"",Wilier,"","2021-06-08 06:42:27",4118,568,16.6,14.51,33.64,123,"","","",""
"",Wilier,"","2021-06-08 18:46:57",3949,477,16.72,15.24,35.51,120,"","","",""
"",Wilier,"","2021-06-09 06:25:50",3766,591,16.73,16.0,36.46,102,"","","",""
"",Wilier,"","2021-06-09 17:10:53",4060,541,16.57,14.69,36.4,90,"","","",""
"",Wilier,"","2021-06-10 06:15:38",3845,620,16.62,15.56,37.45,114,"","","",""
"",Wilier,"","2021-06-10 17:43:42",3700,689,16.71,16.26,37.35,119,"","","",""
"",Nukeproof,"","2021-06-12 06:56:09",7638,5687,32.51,15.32,31.18,116,"","","",""
"",Nukeproof,"","2021-06-13 10:06:46",6522,4514,22.72,12.54,48.19,277,"","","",""
"",Nukeproof,"","2021-06-14 06:34:08",3930,884,16.72,15.32,33.07,125,"","","",""
"",Wilier,"","2021-06-14 18:08:22",3908,425,16.78,15.46,45.3,120,"","","",""
"",Nukeproof,"","2021-06-15 06:48:50",3738,729,16.58,15.97,35.41,119,"","","",""
"",Nukeproof,"","2021-06-15 17:26:12",6614,38437,22.28,12.13,36.78,733,"","","",""
"",Nukeproof,"","2021-06-16 05:59:11",3714,436,16.56,16.05,34.82,139,"","","",""
"",Nukeproof,"수원시","2021-06-16 19:37:27",4018,434,16.46,14.75,38.07,134,"","","",""
"",Nukeproof,"","2021-06-17 06:30:25",3722,563,16.46,15.92,35.15,127,"","","",""
"",Nukeproof,"수원시","2021-06-17 16:18:28",220,78,0.33,5.42,26.86,0,"","","",""
"",Nukeproof,"수원시","2021-06-17 16:23:48",207,318,0.18,3.22,8.16,0,"","",3,132
"",Nukeproof,"","2021-06-17 17:17:55",3724,282,16.53,15.98,37.84,98,121,148,"",""
"",Nukeproof,"","2021-06-20 09:45:46",4101,3535,11.83,10.38,28.9,358,130,166,"",""
"",Nukeproof,"","2021-06-21 06:43:26",4073,390,16.44,14.53,32.88,114,124,153,"",""
"",Nukeproof,"","2021-06-21 17:20:33",4176,801,16.73,14.42,35.22,115,125,157,"",""
"",Nukeproof,"","2021-06-22 06:34:26",3984,447,16.7,15.09,35.27,99,131,163,"",""
"",Nukeproof,"","2021-06-22 18:01:49",4065,821,16.72,14.81,37.12,94,119,144,"",""
"",Nukeproof,"","2021-06-23 06:06:13",4107,586,16.6,14.55,35.18,143,124,149,"",""
"",Nukeproof,"","2021-06-23 17:06:31",4305,876,16.76,14.02,34.46,88,113,140,"",""
"",Nukeproof,"","2021-06-24 06:18:51",4125,707,16.76,14.63,32.53,101,123,148,"",""
"",Nukeproof,"","2021-06-24 17:06:44",4244,660,16.61,14.09,38.16,92,115,143,"",""
"",Nukeproof,"","2021-06-25 06:12:25",3986,334,16.63,15.02,33.83,103,124,151,"",""
"",Nukeproof,"","2021-06-27 09:36:45",5113,3909,16.85,11.86,47.79,355,"","","",""
"",Nukeproof,"","2021-06-27 15:57:12",3895,301,20.49,18.93,34.93,211,"","","",""
"",Nukeproof,"","2021-06-28 06:33:44",4372,712,17.14,14.12,33.08,336,123,145,"",""
"",Nukeproof,"","2021-06-28 17:10:00",4122,564,16.5,14.41,36.14,285,118,144,"",""
"",Nukeproof,"","2021-06-29 06:27:07",4155,463,16.68,14.45,33.53,105,123,151,"",""
"",Nukeproof,"","2021-06-29 21:04:49",4083,578,16.6,14.63,35.67,118,119,154,"",""
"",Nukeproof,"","2021-06-30 06:09:01",4069,466,16.51,14.61,31.22,121,128,152,"",""
"",Nukeproof,"","2021-06-30 17:06:46",4031,655,16.48,14.72,35.15,124,119,148,"",""
"",Nukeproof,"","2021-07-01 06:24:39",4198,525,16.73,14.35,34.17,119,120,142,"",""
"",Nukeproof,"","2021-07-01 17:14:08",5076,597,18.31,12.99,36.55,179,122,158,"",""
"",Nukeproof,"","2021-07-02 05:57:18",4266,446,17.28,14.58,33.05,128,113,138,47,100
"",Nukeproof,"","2021-07-02 17:12:00",3993,855,17.36,15.65,41.87,93,116,147,58,122
"",Nukeproof,"","2021-07-03 07:28:05",7154,6908,31.13,15.66,36.3,375,103,134,42,105
"",Nukeproof,"","2021-07-05 06:13:08",4153,686,17.51,15.18,37.52,362,122,152,51,106
"",Nukeproof,"","2021-07-05 17:20:41",4275,708,17.38,14.63,39.1,396,120,148,48,107
"",Nukeproof,"","2021-07-06 05:59:54",4032,510,17.24,15.39,39.5,308,123,147,53,95
"",Nukeproof,"","2021-07-06 17:06:05",4129,946,17.3,15.08,40.95,87,112,141,49,105
"",Nukeproof,"","2021-07-08 06:24:02",4152,578,17.42,15.11,34.76,120,126,153,53,104
"",Nukeproof,"","2021-07-08 17:02:05",4045,746,17.14,15.25,42.13,112,122,152,53,112
"",Nukeproof,"","2021-07-11 10:00:51",17400,11129,91.3,18.89,38.84,329,128,159,57,118
"",Nukeproof,"","2021-07-12 06:20:44",4346,412,17.3,14.33,35.81,91,"","",48,97
"","Santa Cruz","","2021-07-12 17:47:56",4162,750,16.94,14.66,50.65,111,"","",34,98
"","Santa Cruz","","2021-07-13 06:34:03",3688,536,16.64,16.24,41.45,113,129,156,46,107
"","Santa Cruz","","2021-07-13 17:05:33",3857,560,16.55,15.44,40.58,113,119,147,41,104
"","Santa Cruz","","2021-07-14 06:20:34",3884,478,16.41,15.21,36.85,112,124,149,49,104
"","Santa Cruz","","2021-07-14 17:06:44",3821,682,16.23,15.3,41.7,135,123,154,49,105
"",Nukeproof,"","2021-07-15 06:23:39",3736,384,17.15,16.52,38.84,113,130,160,52,101
"",Nukeproof,"","2021-07-15 17:06:16",4266,770,17.4,14.69,37.52,116,111,146,46,103
"",Nukeproof,"","2021-07-18 09:40:06",8041,7509,36.83,16.49,30.94,158,122,154,50,112
"",Nukeproof,"","2021-07-19 06:13:21",4301,720,17.34,14.52,40.29,115,122,146,50,93
"",Nukeproof,"","2021-07-19 17:16:40",3990,402,17.14,15.46,38.18,116,108,140,46,109
"",Nukeproof,"","2021-07-20 06:22:39",4054,568,17.32,15.38,36.47,115,123,152,48,95
"",Nukeproof,"","2021-07-20 17:18:06",3701,426,17.07,16.61,41.21,114,123,151,49,94
"",Nukeproof,"","2021-07-21 06:33:11",3787,618,17.25,16.4,41.08,97,129,157,47,100
"",Nukeproof,"","2021-07-21 17:15:02",3846,646,17.15,16.05,39.89,105,126,158,44,97
"",Nukeproof,"","2021-07-22 06:13:35",3862,567,17.15,15.99,37.66,88,130,162,50,107
"",Nukeproof,"","2021-07-22 20:09:13",3847,582,17.11,16.01,40.16,118,136,172,43,116
"",Nukeproof,"","2021-07-25 07:32:42",6405,1390,22.39,12.59,29.89,374,132,170,45,101
"",Nukeproof,"","2021-08-02 06:45:41",3766,524,17.2,16.44,36.21,179,133,163,47,100
"",Nukeproof,"","2021-08-02 17:18:21",3926,1164,17.16,15.73,38.58,151,121,149,45,99
"",Nukeproof,"","2021-08-03 06:39:22",3731,605,17.16,16.56,42.0,126,133,162,50,104
"",Nukeproof,"","2021-08-03 17:22:40",3769,740,16.7,15.94,41.21,88,125,153,48,95
"",Wilier,"","2021-08-04 20:32:13",3760,592,16.78,16.06,37.13,113,128,163,32,93
"",Nukeproof,"","2021-08-05 06:41:45",3779,601,17.17,16.35,37.26,118,139,167,53,92
"",Nukeproof,"","2021-08-05 17:23:55",4210,1354,17.15,14.67,39.63,110,118,151,48,101
"",Nukeproof,"","2021-08-06 06:40:53",3835,600,17.12,16.07,37.26,115,131,156,51,98
"",Nukeproof,"","2021-08-06 17:04:36",3980,690,17.18,15.54,42.26,141,116,146,46,98
"",Nukeproof,"","2021-08-08 09:19:42",17086,8878,89.51,18.86,79.2,662,"","",58,143
"",Nukeproof,"","2021-08-09 06:07:34",4094,884,17.23,15.15,42.53,136,124,150,50,102
"",Nukeproof,"","2021-08-09 17:37:23",4113,980,17.29,15.13,39.76,115,116,145,46,97
"",Nukeproof,"","2021-08-10 06:39:03",4014,527,17.14,15.37,36.34,101,123,149,49,97
"",Nukeproof,"","2021-08-10 17:16:56",4184,402,17.12,14.73,36.47,108,110,147,47,96
"",Nukeproof,"","2021-08-11 06:36:01",4007,413,17.21,15.46,44.5,105,125,150,53,107
"",Nukeproof,"","2021-08-11 17:11:42",3930,932,17.02,15.59,43.58,104,120,150,51,103
"",Nukeproof,"","2021-08-12 06:42:10",4018,344,17.17,15.38,37.0,102,"","",53,100
"",Nukeproof,"","2021-08-12 17:06:59",4046,620,17.02,15.15,38.18,115,"","",52,113
"",Nukeproof,"","2021-08-13 06:27:32",4112,582,17.18,15.04,43.19,101,121,149,52,93
"",Nukeproof,"","2021-08-13 17:05:04",4166,610,17.5,15.12,42.66,135,113,147,49,90
"",Nukeproof,"","2021-08-15 08:20:44",6005,3553,22.58,13.54,32.39,496,130,167,49,102
"",Nukeproof,"","2021-08-16 07:46:50",6541,1395,31.6,17.39,32.65,279,106,136,50,113
"",Nukeproof,"","2021-08-17 06:41:05",3867,890,17.33,16.13,42.26,282,130,161,53,96
"",Nukeproof,"","2021-08-17 17:04:21",3974,846,17.19,15.58,34.89,388,110,143,49,96
"",Nukeproof,"","2021-08-19 06:19:26",3697,775,17.34,16.88,36.87,218,"","",53,104
"",Nukeproof,"","2021-08-19 16:57:35",3985,940,17.07,15.42,38.45,126,"","",49,97
"",Nukeproof,"","2021-08-20 06:26:24",3888,558,17.28,16.0,36.73,113,125,151,55,100
"",Nukeproof,"","2021-08-20 17:11:48",3940,596,17.22,15.73,39.37,97,119,149,48,100
"",Nukeproof,"","2021-08-23 06:14:22",3893,847,16.66,15.4,36.5,104,"","","",""
"",Nukeproof,"","2021-08-23 17:23:34",4063,737,17.31,15.34,38.45,520,117,150,46,100
"",Nukeproof,"","2021-08-26 06:22:08",3810,818,17.27,16.32,34.5,325,136,164,53,97
"",Nukeproof,"","2021-08-26 12:41:14",3707,406,16.98,16.49,46.74,246,133,161,36,96
"",Nukeproof,"","2021-08-29 09:26:42",18480,12993,98.29,19.15,48.72,858,134,176,57,146
"",Nukeproof,"","2021-08-30 06:15:06",4127,594,17.16,14.96,40.29,102,132,157,50,102
"",Nukeproof,"","2021-08-30 18:59:46",4160,1602,17.21,14.89,39.76,90,125,155,41,101
"",Nukeproof,"","2021-08-31 06:08:38",4105,659,17.31,15.19,33.44,92,130,153,50,100
"",Nukeproof,"","2021-08-31 17:19:39",4491,3236,17.44,13.98,33.18,125,112,150,41,99
"",Nukeproof,"","2021-09-01 06:42:06",4419,534,17.15,13.97,38.45,106,119,146,32,97
"",Nukeproof,"수원시","2021-09-01 17:05:55",3783,988,16.25,15.46,40.03,61,112,144,44,126
"",Nukeproof,"","2021-09-02 06:30:36",3917,760,17.25,15.86,35.29,104,124,149,48,97
"",Nukeproof,"","2021-09-02 17:15:02",4107,741,17.37,15.23,39.37,89,113,140,45,135
"",Nukeproof,"","2021-09-03 06:12:27",3912,400,17.06,15.7,36.08,119,122,148,53,97
"",Nukeproof,"","2021-09-03 17:08:26",4021,1057,17.17,15.38,44.37,93,110,141,47,99
"",Nukeproof,"","2021-09-04 08:13:26",8455,2245,37.55,15.99,34.1,80,"","",41,100
"",Nukeproof,"","2021-09-05 09:42:22",8998,7024,38.87,15.55,39.76,498,131,164,47,104
"",Nukeproof,"","2021-09-08 06:22:32",3783,679,17.28,16.45,42.0,102,127,150,50,94
"",Nukeproof,"","2021-09-08 17:05:15",3932,852,17.21,15.75,40.82,90,114,149,48,93
"",Nukeproof,"","2021-09-09 06:48:21",3737,464,16.91,16.29,39.1,112,127,149,51,108
"",Nukeproof,"","2021-09-12 09:07:56",399,318,1.45,13.08,19.35,0,99,113,30,83
"",Nukeproof,"","2021-09-12 09:51:19",11367,8864,64.2,20.33,38.84,37,128,157,63,103
"",Nukeproof,"안양시","2021-09-13 06:22:45",3951,684,17.3,15.77,33.97,106,120,147,50,99
"",Nukeproof,"수원시","2021-09-13 20:40:54",3680,530,16.16,15.8,36.87,67,123,155,41,101
"",Nukeproof,"안양시","2021-09-14 06:20:37",3878,518,17.19,15.95,42.0,90,"","",48,96
"",Nukeproof,"수원시","2021-09-14 17:44:21",3999,708,17.24,15.52,35.29,93,"","",44,96
"",Nukeproof,"안양시","2021-09-15 06:18:52",3837,626,17.39,16.31,42.0,153,122,146,52,103
"",Nukeproof,"수원시","2021-09-15 17:08:53",3959,609,17.09,15.55,38.58,92,113,148,49,107
"",Nukeproof,"안양시","2021-09-16 06:38:41",3789,570,17.3,16.44,43.05,105,128,163,50,100
"",Nukeproof,"수원시","2021-09-16 17:09:27",4229,956,17.25,14.69,40.95,100,110,144,44,94
"",Nukeproof,"북대서양","2021-09-17 06:25:26",3729,709,17.27,16.67,36.34,84,127,159,51,97
"",Nukeproof,"수원시","2021-09-17 17:07:57",4206,884,17.39,14.88,37.79,83,109,145,46,103
"",Nukeproof,"","2021-09-19 07:50:50",6129,2062,22.67,13.31,36.21,259,124,174,45,101
"",Nukeproof,"남양주시","2021-09-22 08:43:54",7578,3811,37.08,17.61,55.8,43,"","",42,104
"",Nukeproof,"안양시","2021-09-23 06:44:53",3959,591,17.32,15.75,41.74,103,124,150,51,101
"",Nukeproof,"수원시","2021-09-23 17:12:37",4229,951,17.35,14.77,42.13,78,118,148,44,109
"",Nukeproof,"경기도","2021-09-24 06:25:08",3836,666,17.29,16.22,37.39,105,122,145,52,95
"",Nukeproof,"경기도","2021-09-24 17:16:08",4298,1115,17.36,14.54,41.74,83,106,137,43,102
"",Nukeproof,"경기도","2021-09-25 09:09:16",6603,3415,23.58,12.86,28.83,305,116,169,40,98
"",Nukeproof,"경기도","2021-09-27 06:16:13",3946,885,17.26,15.75,37.79,78,128,156,50,93
"",Nukeproof,"수원시","2021-09-27 17:54:03",4156,974,17.31,15.0,38.31,104,110,141,42,94
"",Nukeproof,"","2021-09-28 06:36:11",3995,924,17.39,15.68,35.68,90,123,148,47,95
"",Nukeproof,"수원시","2021-09-28 19:01:04",4123,764,17.37,15.17,42.53,93,119,150,44,93
"",Nukeproof,"안양시","2021-09-30 06:39:06",3915,970,17.42,16.01,37.92,101,124,150,50,102
"",Nukeproof,"","2021-09-30 17:13:43",4191,1062,17.35,14.9,37.13,92,114,146,46,101
"",Nukeproof,"안양시","2021-10-01 06:13:26",4037,623,17.38,15.5,40.29,105,127,229,48,102
"",Nukeproof,"수원시","2021-10-01 17:14:12",4079,662,17.28,15.25,40.42,83,113,141,44,93
"",Nukeproof,"","2021-10-02 07:41:58",6569,2872,29.8,16.33,34.1,12,"","",45,101
"",Wilier,"안양시","2021-10-03 08:09:52",14795,20466,81.4,19.81,33.31,33,118,146,"",""
"",Wilier,"","2021-10-04 06:42:05",3609,542,17.18,17.14,38.58,118,"","","",""
"",Nukeproof,"","2021-10-04 17:42:31",4408,40991,18.01,14.71,47.4,129,113,148,38,103
"",Wilier,"안양시","2021-10-05 06:20:27",3793,575,17.59,16.69,41.47,94,125,150,46,93
"","Santa Cruz","수원시","2021-10-05 17:02:11",4035,616,16.77,14.96,41.45,119,116,148,45,97
"",Nukeproof,"안양시","2021-10-06 06:23:23",133,50,0.46,12.38,20.41,0,"","",29,76
"",Nukeproof,"","2021-10-08 06:29:43",4155,214,16.98,14.71,32.99,104,124,153,19,96
"","Santa Cruz","수원시","2021-10-08 17:10:19",4069,895,16.18,14.31,38.59,80,119,151,42,88
"",Nukeproof,"남양주시","2021-10-11 08:22:18",6285,4309,31.56,18.08,33.97,12,107,134,51,107
